point_yr,fprop_1km,fprop_10km,bca,spp_rich,live_basal,dead_basal,total_basal,oak_prop,can_clos_prop,grass_prop,green_prop,litter_prop,shrub_dens,year,dist_edge,nearest_patch_size,mid_sd,mid_dens_2.5m,mid_dens_5m
CE075_2016,0.642998244,0.284787995,THOUSAND_ACRES,3,13,2,15,0.846153846,1,0,0.95,1,1.09508547,2016,487.837328,17424194.65,0.257574943,0.596344301,0.286859315
CE076_2016,0.578687445,0.285837246,THOUSAND_ACRES,3,9,2,11,0.777777778,0.9,0,0.85,0.7,2.02991453,2016,260.987909,17424194.65,0.194978887,0.316713074,0.243188522
CH001_2016,0.496485727,0.326928292,THOUSAND_ACRES,4,9,2,11,0.888888889,0.65,0.15,0.9,0.7,3.525641026,2016,197.322258,27569877.76,0.25798072,0.326711096,0.086510804
CH002_2016,0.53849481,0.328162537,THOUSAND_ACRES,5,10,1,11,0.6,0.95,0,0.55,0.8,3.632478632,2016,243.442517,27569877.76,0.235736651,0.172428663,0.267773692
CH003_2016,0.57266436,0.325719258,THOUSAND_ACRES,4,7,5,12,0.285714286,0.9,0.1,0.3,0.5,3.044871795,2016,249.408578,27569877.76,0.071389859,0.139129993,0.176442768
CH004_2016,0.595804498,0.326940617,THOUSAND_ACRES,6,15,2,17,0.4,1,0.05,0.6,0.65,1.495726496,2016,260.502444,27569877.76,0.319706406,0.568416897,0.413307578
CH005_2016,0.614619377,0.325657069,THOUSAND_ACRES,3,3,0,3,0.666666667,0.9,0.4,0.55,0.55,1.522435897,2016,127.095687,27569877.76,0.378333507,0.264047591,0.348902806
CH006_2016,0.627973616,0.327178166,THOUSAND_ACRES,3,8,1,9,0.625,0.8,0.4,0.9,1,2.537393162,2016,292.430065,27569877.76,0.183717903,0.481901135,0.327994137
CH007_2016,0.610510381,0.325468263,THOUSAND_ACRES,3,5,2,7,0.2,1,0,0.45,0.95,2.661364332,2016,204.396386,27569877.76,0.180072613,0.297682965,0.231161476
CH008_2016,0.637110727,0.32677198,THOUSAND_ACRES,6,10,1,11,0.4,0.95,0.05,0.75,0.65,2.911324786,2016,448.27756,27569877.76,0.223179583,0.415444118,0.410285938
CH009_2016,0.644139273,0.328532307,THOUSAND_ACRES,2,10,2,12,1,1,0.1,0.85,0.9,1.362179487,2016,293.192202,27569877.76,0.424303887,0.586212531,0.33930208
CH010_2016,0.637110727,0.330629348,THOUSAND_ACRES,5,23,2,25,0.086956522,0.7,0.25,0.95,0.1,0.587606838,2016,263.207566,27569877.76,0.421924856,0.478537859,0.353526951
CH011_2016,0.628784602,0.332272581,THOUSAND_ACRES,5,12,1,13,0,0.95,0,0.7,0.9,3.579059829,2016,346.372257,27569877.76,0.466720724,0.426794002,0.329899737
CH012_2016,0.619593426,0.3327079,THOUSAND_ACRES,4,7,7,14,0.142857143,0.85,0.05,0.8,0.55,2.991452991,2016,350.804231,27569877.76,0.297409602,0.626950252,0.252062064
CH013_2016,0.641327855,0.332330847,THOUSAND_ACRES,3,11,4,15,0.636363636,0.95,0.05,0.75,0.95,4.754273504,2016,279.567233,27569877.76,0.327630043,0.486554915,0.580826874
CH014_2016,0.586180796,0.324896801,THOUSAND_ACRES,4,9,2,11,0.333333333,0.9,0.2,0.85,0.45,2.831196581,2016,246.317015,27569877.76,0.42940862,0.44909606,0.5661551
CH015_2016,0.608564014,0.326312009,THOUSAND_ACRES,6,15,1,16,0.266666667,1,0.25,0.9,0.7,2.751068376,2016,326.928719,27569877.76,0.220375534,0.255752408,0.47379818
CH016_2016,0.629163062,0.327764195,THOUSAND_ACRES,5,11,3,14,0.727272727,0.85,0.15,0.7,1,2.96474359,2016,230.056487,27569877.76,0.390895568,0.40374583,0.323872331
CH017_2016,0.629487457,0.329779438,THOUSAND_ACRES,5,14,3,17,0.571428571,0.9,0.4,0.45,1,2.911324786,2016,216.906645,27569877.76,0.362614405,0.420334315,0.52947582
CH018_2016,0.647275087,0.331182881,THOUSAND_ACRES,6,8,1,9,0.125,0.85,0.1,0.55,0.25,1.495726496,2016,337.709036,27569877.76,0.117221753,0.187837829,0.22720804
CH019_2016,0.643003893,0.33225017,THOUSAND_ACRES,1,1,2,3,1,0.3,0.05,0.9,0.2,2.96474359,2016,596.221357,27569877.76,0.262186267,0.279465637,0.026749844
CH020_2016,0.658304498,0.332107305,THOUSAND_ACRES,9,15,7,22,0.333333333,0.95,0.15,0.8,1,7.852564103,2016,389.997268,27569877.76,0.316128599,0.615132055,0.153731044
